"","long","lat","order","hole","piece","group","id"
"123",-95.7370271,29.77046519,10103,FALSE,"1","1054.1",1054
"124",-95.7366931,29.77045119,10104,FALSE,"1","1054.1",1054
"125",-95.7355141,29.77045519,10105,FALSE,"1","1054.1",1054
"126",-95.7355151,29.77038719,10106,FALSE,"1","1054.1",1054
"127",-95.7355101,29.77032719,10107,FALSE,"1","1054.1",1054
"128",-95.7355061,29.76993319,10108,FALSE,"1","1054.1",1054
"129",-95.7354971,29.76974619,10109,FALSE,"1","1054.1",1054
"130",-95.7354731,29.76949419,10110,FALSE,"1","1054.1",1054
"131",-95.7354461,29.76931219,10111,FALSE,"1","1054.1",1054
"132",-95.7353921,29.76906219,10112,FALSE,"1","1054.1",1054
"133",-95.7353191,29.76878819,10113,FALSE,"1","1054.1",1054
"134",-95.7353051,29.76871719,10114,FALSE,"1","1054.1",1054
"135",-95.7352711,29.76864819,10115,FALSE,"1","1054.1",1054
"136",-95.7352541,29.76856319,10116,FALSE,"1","1054.1",1054
"137",-95.7352291,29.76847419,10117,FALSE,"1","1054.1",1054
"138",-95.7351621,29.76827519,10118,FALSE,"1","1054.1",1054
"139",-95.7351371,29.76817719,10119,FALSE,"1","1054.1",1054
"140",-95.7350671,29.76795819,10120,FALSE,"1","1054.1",1054
"141",-95.7350011,29.76772119,10121,FALSE,"1","1054.1",1054
"142",-95.7349771,29.76760419,10122,FALSE,"1","1054.1",1054
"143",-95.7349661,29.76748919,10123,FALSE,"1","1054.1",1054
"144",-95.7349351,29.76726719,10124,FALSE,"1","1054.1",1054
"145",-95.7349061,29.76696319,10125,FALSE,"1","1054.1",1054
"146",-95.7349051,29.76687919,10126,FALSE,"1","1054.1",1054
"147",-95.7349101,29.76680819,10127,FALSE,"1","1054.1",1054
"148",-95.7349041,29.76660819,10128,FALSE,"1","1054.1",1054
"149",-95.7349001,29.76606319,10129,FALSE,"1","1054.1",1054
"150",-95.7348891,29.76568019,10130,FALSE,"1","1054.1",1054
"151",-95.7349031,29.76558619,10131,FALSE,"1","1054.1",1054
"152",-95.7349171,29.76553919,10132,FALSE,"1","1054.1",1054
"153",-95.7349131,29.76551919,10133,FALSE,"1","1054.1",1054
"154",-95.7349001,29.76545719,10134,FALSE,"1","1054.1",1054
"155",-95.7348991,29.76539119,10135,FALSE,"1","1054.1",1054
"156",-95.7349091,29.76533419,10136,FALSE,"1","1054.1",1054
"157",-95.7348961,29.76526619,10137,FALSE,"1","1054.1",1054
"158",-95.7348931,29.76489419,10138,FALSE,"1","1054.1",1054
"159",-95.7348961,29.76475719,10139,FALSE,"1","1054.1",1054
"160",-95.7348881,29.76467019,10140,FALSE,"1","1054.1",1054
"161",-95.7348851,29.76430219,10141,FALSE,"1","1054.1",1054
